,Unnamed: 0.1,Unnamed: 0,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
0,0,0,ea1e3666988d,ACTA2,JUNB;HMGA1;EPAS1;PHF1;NFKB1;NFYB;CTNNB1;KLF2;MAZ;FOXO4;ATF3;SRF;TEAD4;PPARGC1A;JUND;CTCF;FOS;TEAD1;LRRFIP1;THAP11;LDB1;KLF9;CREB3;STAT2;E2F6;TBX15;EP300;BCL3;ZNF32;MAFK,30,0.2674,exp03_muscle_skeletal-coregtor-r1,0.52759,0.59023,0.52644,9.34984,23.31488,7.04893,0.55654,1.75618,0.48566,0.03333,0.02703,,0.01515
1,1,1,e4c9ed25b75d,ACTB,EPAS1;KLF2;JUND;STAT2;CTNNB1;JUN;NONO;ABL1;ATF6B;SFPQ;SKI;ENO1;LDB1;FOXO4;DDIT3;BCL3,16,0.0,exp03_muscle_skeletal-coregtor-r1,0.56944,0.59861,0.55278,17.71396,24.76283,12.18432,0.50164,1.8514,0.39016,0.125,0.09524,,0.05714
2,2,2,6acc4d056200,AKT1,ABL1;NONO;RELA;TFE3;ENO1;KMT2B;SKI,7,0.0,exp03_muscle_skeletal-coregtor-r1,0.52381,0.54762,0.5,19.76707,12.40848,16.97843,0.41996,1.48559,0.32738,0.14286,0.01389,,0.01282
3,3,3,6ba3656c18d5,APP,CTNNB1;STAT2;NONO;EPAS1;KLF2;ABL1;SKI;LDB1;E4F1,9,0.0,exp03_muscle_skeletal-coregtor-r1,0.53704,0.56944,0.52778,10.72672,19.60701,10.62109,0.44554,1.62152,0.35682,0.11111,0.02041,,0.01754
4,4,4,b82de3e136ac,BCL2L1,SFPQ;NONO;ENO1;XBP1,4,0.4681,exp03_muscle_skeletal-coregtor-r1,0.58333,0.58333,0.58333,84.92339,47.632,34.14829,0.53534,2.05911,0.4092,0.25,0.01493,,0.01429
5,5,5,da1fd8f4b413,BMI1,CTCF;SMARCA5;SMAD4;YY1,4,0.0,exp03_muscle_skeletal-coregtor-r1,0.83333,0.91667,0.75,43.02577,98.16943,33.18538,0.54259,2.01893,0.43753,0.0,0.0,,0.0
6,6,6,a980bc01a5aa,CARM1,STAT3;HCFC1;CIC;RELA;RARA;PPARD;CEBPZ;FOXK2;PHF20,9,0.0,exp03_muscle_skeletal-coregtor-r1,0.625,0.61111,0.65278,18.54256,25.64179,16.42823,0.50085,1.69531,0.41282,0.11111,0.04348,,0.03226
7,7,7,270127571f86,CDKN1A,SF1;NONO;XBP1;MYOG;SFPQ;NFYC;JUND;TP63;SRF;CEBPG;FOSL2;APEX1;ENO1;ETS2;ATF6B;BACH1;LMO2;JUN;TRIM28,19,0.5422,exp03_muscle_skeletal-coregtor-r1,0.5614,0.57797,0.54191,17.07798,16.04261,11.48555,0.53803,1.76681,0.4502,0.42105,0.0315,,0.03019
8,8,8,0786e263a542,CDKN1C,THAP12;ATOH8,2,0.2166,exp03_muscle_skeletal-coregtor-r1,0.33333,0.25,0.33333,0.0,0.0,0.0,0.39596,1.03171,0.38645,0.0,0.0,,0.0
9,9,9,6dbdb939a7ed,CLU,PRRX1;CTNNB1;STAT2;RORC;KLF4;EPAS1;KLF2;JUN;MYC;NFKB1;ATF3;SREBF1;JUND;SKI,14,0.3257,exp03_muscle_skeletal-coregtor-r1,0.56777,0.72161,0.57326,23.0304,50.91382,13.70888,0.55443,2.06768,0.44243,0.14286,0.08,,0.05405
10,10,10,12c8bec7dae9,CRYAB,HOXC9;MYOG;PRRX1;LRRFIP1;ATF5;EGR1;HMGB2;ATF4;MYC;MAFF;DDIT3;ARID5A;NR1D1;MLXIPL;JUND;ATF3;CEBPG;BHLHE40;NR4A1;RFXANK;KLF6;PBX1;SND1;THAP11,24,0.0,exp03_muscle_skeletal-coregtor-r1,0.49698,0.54348,0.51147,7.6205,13.64974,4.75994,0.5768,1.88475,0.49384,0.0,0.0,,0.0
11,11,11,3d0893ad3dc8,DUSP1,KLF4;KLF2;JUN;FOS,4,0.0,exp03_muscle_skeletal-coregtor-r1,0.58333,1.0,0.58333,36.83233,103.87047,20.5382,0.599,2.50721,0.46702,0.25,0.03448,,0.03125
12,12,12,d1b389cb92b4,FASN,SND1;SREBF1;NONO;SFPQ;STAT5A;KLF2;APEX1;KMT2B;SSRP1;MZF1;CIC;LMO2;E4F1;ZBTB16;NFX1;RXRB;TRIM28;ATF6B;TFEB;RORC;USF1;KLF4;CEBPB;ENO1;GTF3A;MEF2D;MAF;RXRA;GTF2F1;XBP1;ZNF384;KLF13,32,0.3368,exp03_muscle_skeletal-coregtor-r1,0.51042,0.52755,0.52016,11.42413,12.05521,11.35856,0.49106,1.57182,0.42049,0.125,0.11429,,0.06349
13,13,13,668d23e821ea,FN1,ATF5;TFDP1;MXD4;CTNNB1;ABL1;KLF2;ENO1;LRRFIP1;KLF4;MAX;JUNB;RORC;STAT2;PRRX1;EPAS1;MEF2C;RXRA;BHLHE40;EGR1,19,0.3818,exp03_muscle_skeletal-coregtor-r1,0.51267,0.5809,0.51754,6.84067,21.42793,5.4767,0.53834,1.80576,0.45505,0.10526,0.03077,,0.02439
14,14,14,2a9df484439e,GADD45B,MYC;JUNB;BCL3;E2F6;ATF3;CTCF;ELK1;ARID5A;HSF2;FOS,10,0.0,exp03_muscle_skeletal-coregtor-r1,0.57778,0.63704,0.58148,13.71681,30.30319,11.78463,0.59791,1.94023,0.50484,0.1,0.04348,,0.03125
15,15,15,30785c80c79e,GSTP1,TRIM28;DRAP1;MBD1;GTF2F1;SSRP1;SND1;NR1H2;STAT5B;MZF1;HTATIP2;PHF1;HSF1,12,0.0,exp03_muscle_skeletal-coregtor-r1,0.4899,0.50253,0.5202,8.41,7.42449,11.38678,0.43704,1.3787,0.37162,0.0,0.0,,0.0
16,16,16,578d0b5b3fa2,HBB,ZNF32;NFYB,2,0.4448,exp03_muscle_skeletal-coregtor-r1,0.5,0.33333,0.33333,1.42484,0.0,0.0,0.68004,1.63543,0.67352,0.5,0.01695,,0.01667
17,17,17,1d19814bd4d8,HLA-DRB1,STAT2;HMGB2;BCL3;KLF2;ARID5A;JUN;EPAS1;ETS2;LDB1;NONO,10,0.0,exp03_muscle_skeletal-coregtor-r1,0.54074,0.56667,0.52963,8.26571,16.88386,7.32881,0.54841,1.88028,0.43917,0.2,0.06667,,0.05263
18,18,18,3ec50a3e7a6c,HLA-E,ABL1;STAT2;EPAS1;SKI;HMGB2;LDB1;SFPQ;ARID5A;NONO;KLF2;BCL3,11,0.0,exp03_muscle_skeletal-coregtor-r1,0.50909,0.49394,0.50303,12.67294,12.51055,7.19648,0.49487,1.79361,0.38613,0.09091,0.01923,,0.01613
19,19,19,fb9a3c7a4973,HMOX1,FOXO3;SF1,2,0.5432,exp03_muscle_skeletal-coregtor-r1,0.5,0.5,0.5,2.85678,0.22017,5.82886,0.38433,1.15388,0.2956,0.0,0.0,,0.0
20,20,20,31a882dd0d77,HSP90AA1,JUN;CTBP1;TFE3;NFKB1;ATF4;CEBPG;THAP11;ZNF692;ATF1;MAFG;MBD1;CTCF;CREB3;SREBF2;SMARCA5;TFCP2;SMAD4;FOXO1;SMARCC1,19,0.2922,exp03_muscle_skeletal-coregtor-r1,0.53606,0.56238,0.53899,17.9656,19.72749,9.16032,0.54902,1.77405,0.47419,0.10526,0.1,,0.05405
21,21,21,68178448cb77,HSPA1A,CBFB;ENO1,2,0.7365,exp03_muscle_skeletal-coregtor-r1,0.5,0.5,0.5,8.20457,5.55874,9.88205,0.48379,1.533,0.39325,0.0,0.0,,0.0
22,22,22,7b6b12fa8438,HSPA4,CTCF;ARNT;NCOR1;MBD1;SMARCA5;CTNNB1;FOXJ3;SMARCC1;KDM2A;SMAD4,10,0.0,exp03_muscle_skeletal-coregtor-r1,0.6,0.67037,0.6,34.91073,41.90359,26.40792,0.44433,1.60381,0.35539,0.0,0.0,,0.0
23,23,23,74924d9c4e4d,ID3,E4F1;ID1;CXXC1;EPAS1;ABL1;CTNNB1;NONO;KLF2;SKI;ZNF384;LDB1;STAT2;CREBZF;KLF4,14,0.0,exp03_muscle_skeletal-coregtor-r1,0.50549,0.55861,0.51465,8.08559,18.08409,7.4078,0.44034,1.48609,0.37018,0.21429,0.14286,,0.09375
24,24,24,5c898c789dc1,ITGB1,NCOR1;NCOA1;VEZF1;FOXJ3;CEBPZ,5,0.0,exp03_muscle_skeletal-coregtor-r1,0.55,0.53333,0.55,10.63411,18.32181,13.91933,0.52874,1.5728,0.45308,0.0,0.0,,0.0
25,25,25,ad0becaee258,KAT2B,ZBTB44;ZBTB18;NR3C1;ZEB1;SATB1;NR1D2,6,0.0,exp03_muscle_skeletal-coregtor-r1,0.48889,0.43889,0.48889,4.16712,7.98249,5.15432,0.63663,1.71791,0.60273,0.0,0.0,,0.0
26,26,26,b8fba52f186d,MAT2A,BCL3;RARA;PPARD;ENO1;TEF;MYC;STAT3;ETS2;ABL1;NR2F6;NR1D2;ATF4;EPAS1;FOXK2;SIX1;ATF3,16,0.2161,exp03_muscle_skeletal-coregtor-r1,0.51667,0.58056,0.51944,8.47099,23.41861,7.59484,0.53837,1.90193,0.43936,0.0625,0.04762,,0.02778
27,27,27,08964fdcd9d3,MCL1,KMT2B;SP1;ZNF384;MBD1;STAT5B;SMAD4;KLF6;CBFB;TRIM28;NFE2L2,10,0.2514,exp03_muscle_skeletal-coregtor-r1,0.56296,0.58519,0.56667,12.86268,25.5007,8.62897,0.49002,1.53549,0.4281,0.1,0.02703,,0.02174
28,28,28,4e9d5de6615b,MT1A,NFYC;THAP12;SIX1;STAT3;PPARD;ZNF76;TFCP2;TP63;NR1D2,9,0.3093,exp03_muscle_skeletal-coregtor-r1,0.50926,0.47685,0.52778,3.34613,6.13851,3.23268,0.52197,1.65332,0.46151,0.22222,0.09524,,0.07143
29,29,29,c3ae2cd1d321,NFKBIA,FOSL2;MAX;CEBPB;ARID5B;BACH1;BCL6;CBFB;KMT2B;NFIL3;TFE3;NONO,11,0.0,exp03_muscle_skeletal-coregtor-r1,0.50909,0.58788,0.56364,17.86345,14.90868,9.73785,0.58983,1.75654,0.52485,0.18182,0.05882,,0.04651
30,30,30,8aa86050ec14,OGA,HMGB2;NFX1;MEF2D,3,0.0,exp03_muscle_skeletal-coregtor-r1,0.5,0.44444,0.5,9.98188,0.80194,21.91767,0.49996,1.48664,0.4429,0.0,0.0,,0.0
31,31,31,8b43b096dc35,PCNA,USF1;CXXC1;NONO;SSRP1;ZNF384;TFCP2;ATF6B;ARNT;CREB3;GTF2F1,10,0.0,exp03_muscle_skeletal-coregtor-r1,0.51481,0.53333,0.51852,12.25934,10.11689,11.54518,0.50369,1.53174,0.44501,0.1,0.02128,,0.01786
32,32,32,b9ae82f9293f,PDLIM7,HBP1;PPARD;ZNF32;NR4A1;MEF2C;HES1;EP300;RBFOX2;TFDP1;MAF;NFIX;MLXIPL;DRAP1;MEF2A;NCOR2;CTBP1;GTF2IRD1;ZBTB16,18,0.3694,exp03_muscle_skeletal-coregtor-r1,0.53595,0.54303,0.54684,9.06481,14.36945,7.87575,0.51409,1.72398,0.42686,0.0,0.0,,0.0
33,33,33,1b678ba9dbe2,PER1,ZBTB16;KMT2B;MEF2D;FOXO1;KLF15;CEBPB;NONO;NFX1,8,0.0,exp03_muscle_skeletal-coregtor-r1,0.51786,0.56548,0.55357,10.77723,17.59597,21.54576,0.51722,1.64615,0.44244,0.0,0.0,,0.0
34,34,34,f952192e2c27,PIK3R1,NCOA3;TBX15;FOXO3;FOXO1,4,0.2991,exp03_muscle_skeletal-coregtor-r1,0.41667,0.66667,0.44444,12.99976,26.91104,8.13993,0.55054,1.93832,0.45092,0.25,0.02564,,0.02381
35,35,35,16be1cdb10a7,PKD1,RXRB;MEF2D;KMT2B;CTBP1;MBD1;ZBTB7A;MAZ;TRIM28;MAFG,9,0.0,exp03_muscle_skeletal-coregtor-r1,0.5,0.5463,0.49537,18.92537,8.74114,10.38811,0.53207,1.57875,0.46358,0.11111,0.05,,0.03571
36,36,36,082265dbe2bd,PRKACA,NCOR1;CEBPG;PBX1;TBX15;NCOR2;SREBF2;MEF2A;NCOA1;RXRA;KLF13;USF1;PHF20;HDAC3;MAF;NFIC;GTF2IRD1;VEZF1;FOXJ3;NONO,19,0.0,exp03_muscle_skeletal-coregtor-r1,0.53606,0.54288,0.56433,15.56712,18.34134,12.05367,0.56566,1.79438,0.49216,0.10526,0.04255,,0.03125
37,37,37,2a9105107f50,RBL2,SP1;NFX1;SMARCA5;HBP1;CEBPZ;SSRP1;NCOR1;MLX;STAT5A;FOXJ3;XBP1;STAT5B;KMT2B,13,0.0,exp03_muscle_skeletal-coregtor-r1,0.51709,0.53419,0.52778,15.5197,14.91019,13.35599,0.49634,1.50566,0.43265,0.07692,0.04167,,0.02778
38,38,38,cc62ae791911,RHOA,SND1;HMGB1;CTNNB1;NONO;NFX1;ATF6B,6,0.0,exp03_muscle_skeletal-coregtor-r1,0.63333,0.56667,0.62222,36.82121,12.07634,42.76493,0.39974,1.35567,0.31132,0.0,0.0,,0.0
39,39,39,4e5055f54e40,SOD2,HTATIP2;SSRP1,2,0.0,exp03_muscle_skeletal-coregtor-r1,0.5,0.5,0.5,0.87865,0.04404,2.83514,0.20662,0.48742,0.23745,0.0,0.0,,0.0
40,40,40,6077ac2f5c93,SPARC,CTNNB1;TFDP1;KLF2;STAT2;MEF2C;JUN;RORC;LDB1;LRRFIP1;ZEB1;SKI;PRRX1;ATF5;NONO;JUND;MYOG,16,0.0,exp03_muscle_skeletal-coregtor-r1,0.50833,0.57222,0.49861,9.015,20.87575,7.64145,0.52311,1.80194,0.43925,0.0625,0.04348,,0.02632
41,41,41,4a0f7dcfdf87,SQSTM1,HTATIP2;RXRB;TRIM28;STAT5B;MBD1;SND1;MAFG;NFE2L2;MEF2D;GTF2F1;STAT5A;EWSR1;NFKB1;SSRP1;UBTF;NFE2L1,16,0.4298,exp03_muscle_skeletal-coregtor-r1,0.52361,0.54583,0.53472,14.83488,17.20517,12.56711,0.45319,1.40837,0.38553,0.125,0.1,,0.05882
42,42,42,14ad37cb2186,SUMO1,ZNF32;SMARCA5;GTF3A;HMGB1;CREB3;CTNNB1;THAP12;ARNT,8,0.0,exp03_muscle_skeletal-coregtor-r1,0.55357,0.50595,0.55952,12.24619,9.60103,12.01282,0.369,1.19876,0.32062,0.0,0.0,,0.0
43,43,43,a6771bd66c75,TAGLN,ATF3;HMGA1;CREB3;MAZ;FOXO4;STAT2;EPAS1;JUND;KLF2;TEAD1;LRRFIP1;E2F6;LDB1;JUNB;EWSR1;SRF,16,0.3695,exp03_muscle_skeletal-coregtor-r1,0.54583,0.55,0.5375,9.18123,15.3469,6.65985,0.601,1.84751,0.51867,0.125,0.05714,,0.04082
44,44,44,c9f9c62e5ad7,TIMP1,BHLHE40;FOXO4;LRRFIP1;SATB1;ATF5;PBX1;TFDP1;MYOG;ABL1;PITX2;BCL3;ZBED1;EPAS1;STAT2;ARID5A;TP63;HMGA1;DDIT3;NFE2L1;ENO1;CREB3;ZHX2;RXRA;KLF6;RORC;CTNNB1;ATF3;MYC,28,0.4113,exp03_muscle_skeletal-coregtor-r1,0.52469,0.55996,0.5194,6.0278,13.86723,5.91554,0.54759,1.79507,0.46218,0.0,0.0,,0.0
45,45,45,51d23b97ef8c,TIMP3,KLF4;SREBF1;EPAS1;JUND;JUNB;HMGB1;ZNF384;JUN;NFYB;LDB1;KMT2B;ABL1;NR4A1;SFPQ;USF1;NCOA1;CIC;E4F1;BCLAF1;NONO;NCOR2;HSF2;KLF13;MAX;SF1;CTNNB1;APEX1;EGR1;THAP12;TEF;ATF5;SKI;FOS;KLF2,34,0.0,exp03_muscle_skeletal-coregtor-r1,0.54843,0.5609,0.54248,16.21963,19.76959,11.63223,0.49441,1.62803,0.42126,0.05882,0.09091,,0.03704
46,46,46,172189f85646,TXN,ENO1;HMGA1;RORC;BHLHE40,4,0.0,exp03_muscle_skeletal-coregtor-r1,0.66667,0.58333,0.58333,17.28372,8.61863,8.92499,0.52005,1.78706,0.4259,0.0,0.0,,0.0
47,47,47,f93798183c3c,VIM,STAT2;CTNNB1;KLF2;LDB1;ATF6B;JUN,6,0.0,exp03_muscle_skeletal-coregtor-r1,0.48889,0.65556,0.48889,14.32868,22.80837,7.58898,0.51005,1.86266,0.4076,0.33333,0.04,,0.03704
